LEAID	LEA_NAME	ST_NAME	LEA_CWIFTEST	LEA_CWIFTSE
0100001	Fort Rucker School District	Alabama	0.832	0.026
0100003	Maxwell AFB School District	Alabama	0.887	0.012
0100005	Albertville City School District	Alabama	0.883	0.035
0100006	Marshall County School District	Alabama	0.883	0.035
0100007	Hoover City School District	Alabama	0.924	0.007
0100008	Madison City School District	Alabama	0.969	0.01
0100011	Leeds City School District	Alabama	0.891	0.009
0100012	Boaz City School District	Alabama	0.863	0.03
0100013	Trussville City School District	Alabama	0.914	0.008
0100030	Alexander City City School District	Alabama	0.86	0.037
0100060	Andalusia City School District	Alabama	0.742	0.045
0100090	Anniston City School District	Alabama	0.797	0.025
0100100	Arab City School District	Alabama	0.883	0.035
0100120	Athens City School District	Alabama	0.862	0.033
0100180	Attalla City School District	Alabama	0.727	0.032
0100185	Saraland City School District	Alabama	0.855	0.014
0100188	Chickasaw City School District	Alabama	0.855	0.014
0100189	Satsuma City School District	Alabama	0.855	0.014
0100190	Alabaster City School District	Alabama	0.94	0.016
0100210	Auburn City School District	Alabama	0.856	0.027
0100240	Autauga County School District	Alabama	0.823	0.049
0100270	Baldwin County School District	Alabama	0.816	0.032
0100300	Barbour County School District	Alabama	0.899	0.045
0100330	Bessemer City School District	Alabama	0.917	0.008
0100360	Bibb County School District	Alabama	0.856	0.044
0100390	Birmingham City School District	Alabama	0.917	0.008
0100420	Blount County School District	Alabama	0.771	0.032
0100450	Brewton City School District	Alabama	0.855	0.048
0100480	Bullock County School District	Alabama	0.86	0.037
0100510	Butler County School District	Alabama	0.855	0.048
0100540	Calhoun County School District	Alabama	0.797	0.025
0100600	Chambers County School District	Alabama	0.8	0.041
0100630	Cherokee County School District	Alabama	0.8	0.041
0100660	Chilton County School District	Alabama	0.8	0.041
0100690	Choctaw County School District	Alabama	0.853	0.048
0100720	Clarke County School District	Alabama	0.853	0.048
0100750	Clay County School District	Alabama	0.8	0.041
0100780	Cleburne County School District	Alabama	0.8	0.041
0100810	Coffee County School District	Alabama	0.804	0.049
0100840	Colbert County School District	Alabama	0.792	0.037
0100870	Conecuh County School District	Alabama	0.742	0.045
0100900	Coosa County School District	Alabama	0.8	0.041
0100930	Covington County School District	Alabama	0.742	0.045
0100960	Crenshaw County School District	Alabama	0.855	0.048
0100990	Cullman City School District	Alabama	0.871	0.039
0101020	Cullman County School District	Alabama	0.871	0.039
0101050	Dale County School District	Alabama	0.833	0.027
0101080	Daleville City School District	Alabama	0.833	0.027
0101110	Dallas County School District	Alabama	0.803	0.043
0101140	DeKalb County School District	Alabama	0.802	0.041
0101170	Decatur City School District	Alabama	0.87	0.029
0101200	Demopolis City School District	Alabama	0.856	0.044
0101230	Dothan City School District	Alabama	0.862	0.021
0101260	Elba City School District	Alabama	0.804	0.049
0101290	Elmore County School District	Alabama	0.823	0.049
0101320	Enterprise City School District	Alabama	0.804	0.048
0101350	Escambia County School District	Alabama	0.855	0.048
0101380	Etowah County School District	Alabama	0.727	0.032
0101410	Eufaula City School District	Alabama	0.899	0.045
0101440	Fairfield City School District	Alabama	0.917	0.008
0101470	Fayette County School District	Alabama	0.856	0.044
0101530	Florence City School District	Alabama	0.826	0.044
0101560	Fort Payne City School District	Alabama	0.802	0.041
0101590	Franklin County School District	Alabama	0.824	0.041
0101620	Gadsden City School District	Alabama	0.727	0.032
0101640	Geneva City School District	Alabama	0.742	0.045
0101660	Geneva County School District	Alabama	0.742	0.045
0101680	Greene County School District	Alabama	0.856	0.044
0101690	Guntersville City School District	Alabama	0.883	0.035
0101710	Hale County School District	Alabama	0.856	0.044
0101720	Haleyville City School District	Alabama	0.824	0.041
0101730	Hartselle City School District	Alabama	0.87	0.029
0101740	Henry County School District	Alabama	0.833	0.027
0101760	Homewood City School District	Alabama	0.917	0.008
0101770	Houston County School District	Alabama	0.863	0.022
0101800	Huntsville City School District	Alabama	0.983	0.011
0101830	Jackson County School District	Alabama	0.802	0.041
0101860	Jacksonville City School District	Alabama	0.797	0.025
0101890	Jasper City School District	Alabama	0.771	0.032
0101920	Jefferson County School District	Alabama	0.917	0.008
0101950	Lamar County School District	Alabama	0.856	0.044
0101980	Lanett City School District	Alabama	0.8	0.041
0102010	Lauderdale County School District	Alabama	0.826	0.044
0102040	Lawrence County School District	Alabama	0.824	0.041
0102070	Lee County School District	Alabama	0.856	0.027
0102100	Limestone County School District	Alabama	0.862	0.033
0102130	Linden City School District	Alabama	0.856	0.044
0102160	Lowndes County School District	Alabama	0.803	0.043
0102190	Macon County School District	Alabama	0.86	0.037
0102220	Madison County School District	Alabama	0.983	0.011
0102250	Marengo County School District	Alabama	0.856	0.044
0102310	Marion County School District	Alabama	0.824	0.041
0102350	Midfield City School District	Alabama	0.917	0.008
0102370	Mobile County School District	Alabama	0.855	0.014
0102400	Monroe County School District	Alabama	0.855	0.048
0102430	Montgomery County School District	Alabama	0.887	0.012
0102480	Morgan County School District	Alabama	0.87	0.029
0102490	Mountain Brook City School District	Alabama	0.917	0.008
0102520	Muscle Shoals City School District	Alabama	0.792	0.037
0102550	Oneonta City School District	Alabama	0.771	0.032
0102580	Opelika City School District	Alabama	0.856	0.027
0102610	Opp City School District	Alabama	0.742	0.045
0102635	Oxford City School District	Alabama	0.806	0.02
0102640	Ozark City School District	Alabama	0.833	0.027
0102650	Pell City City School District	Alabama	0.771	0.032
0102670	Perry County School District	Alabama	0.856	0.044
0102700	Phenix City City School District	Alabama	0.859	0.032
0102730	Pickens County School District	Alabama	0.856	0.044
0102760	Piedmont City School District	Alabama	0.797	0.024
0102790	Pike County School District	Alabama	0.899	0.045
0102820	Randolph County School District	Alabama	0.8	0.041
0102850	Roanoke City School District	Alabama	0.8	0.041
0102880	Russell County School District	Alabama	0.86	0.037
0102910	Russellville City School District	Alabama	0.824	0.041
0102940	Scottsboro City School District	Alabama	0.802	0.041
0102970	Selma City School District	Alabama	0.803	0.043
0103000	Sheffield City School District	Alabama	0.792	0.037
0103030	Shelby County School District	Alabama	0.94	0.016
0103062	St. Clair County School District	Alabama	0.771	0.032
0103090	Sumter County School District	Alabama	0.853	0.048
0103120	Sylacauga City School District	Alabama	0.84	0.037
0103150	Talladega City School District	Alabama	0.84	0.037
0103180	Talladega County School District	Alabama	0.84	0.037
0103210	Tallapoosa County School District	Alabama	0.86	0.037
0103240	Tallassee City School District	Alabama	0.829	0.041
0103270	Tarrant City School District	Alabama	0.917	0.008
0103300	Thomasville City School District	Alabama	0.853	0.048
0103330	Troy City School District	Alabama	0.899	0.045
0103360	Tuscaloosa City School District	Alabama	0.886	0.021
0103390	Tuscaloosa County School District	Alabama	0.886	0.021
0103420	Tuscumbia City School District	Alabama	0.792	0.037
0103430	Vestavia Hills City School District	Alabama	0.917	0.008
0103450	Walker County School District	Alabama	0.771	0.032
0103480	Washington County School District	Alabama	0.853	0.048
0103510	Wilcox County School District	Alabama	0.803	0.043
0103540	Winfield City School District	Alabama	0.83	0.034
0103580	Winston County School District	Alabama	0.824	0.041
0200001	Lower Kuskokwim School District	Alaska	0.791	0.041
0200003	Lower Yukon School District	Alaska	0.791	0.041
0200004	Yupiit School District	Alaska	0.791	0.041
